Date,V7.3 (no overlay),V7.3 + V2 (original),V7.3 + V2 (tuned),A voltgt15 db0,A voltgt15 db10,A voltgt20 db0,A voltgt20 db10,A voltgt25 db0,A voltgt25 db10,A voltgt30 db0,A voltgt30 db10,A invvol-only,A voltgt20+invvol db10,A voltgt25+invvol db10,CONTROL universe equal weight,CONTROL SPY buy&hold,CONTROL QQQ buy&hold
2024-04-04,133523.3521518131,133523.35215181316,133523.35215181316,124951.93238746999,124895.70419221991,132655.48527008313,132786.48580615714,133736.95962433008,133855.71009762594,133523.3521518131,133523.3521518131,130828.48662478097,131246.24062965694,130828.48662478097,109281.22122780756,108889.06404438928,108134.82706920347
2024-04-05,136394.90191446964,136394.9019144697,136394.9019144697,126396.35065120064,126566.57326459557,134704.5955137007,134815.09695170503,136324.90461082917,136412.74800481927,136394.90191446964,136394.90191446964,133439.5736781775,133524.11950487972,133439.5736781775,110456.29969784549,110026.60589879384,109409.07752984008
2024-04-08,135932.95631888942,135932.95631888948,135932.95631888948,126161.43101576467,126364.92223577312,134370.0036736067,134464.66659661088,135900.6544190535,135968.01666592897,135932.95631888942,135932.95631888942,133204.3544983895,133295.18345143978,133204.3544983895,111406.98689361422,110088.14534270395,109441.3696593006
2024-04-09,134769.7277624397,134769.72776243975,134769.72776243975,125585.08513355069,125787.64674039787,133550.5886750968,133644.67432477514,134863.50820352958,134930.3563653205,134769.7277624397,134769.7277624397,132340.5851619739,132588.47411891172,132340.5851619739,111993.22182773192,110215.50112875526,109846.24928811395
2024-04-10,135021.48723271542,135021.48723271547,135021.48723271547,125709.82462107208,125912.58742562521,133727.93601136788,133822.14660126192,135087.97946532158,135154.93889139316,135021.48723271542,135021.48723271542,132261.27062874965,132523.58142305922,132261.27062874965,110620.99429551173,109111.90174973694,108887.45351468372
2024-04-11,137931.9783840112,137931.97838401125,137931.97838401125,127151.88824732043,127356.97701856773,135778.17806326615,135873.83303732472,137683.0024865027,137751.2481946908,137931.9783840112,137931.9783840112,134744.41931354682,134555.21680951933,134744.41931354682,111634.07045305206,109935.36096888041,110626.19517833025
2024-04-12,135232.5723863987,135232.57238639877,135232.57238639877,125814.41116895841,126017.34266567088,133876.63107213803,133970.9464168784,135276.18509961592,135343.23781408597,135232.5723863987,135232.5723863987,132350.98447588785,132596.98251563875,132350.98447588785,110140.77622122168,108417.9134855989,108862.61283199777
2024-04-15,132607.15931593307,132607.15931593312,132607.15931593312,124566.71194864926,124714.42878652454,132102.53139125637,132120.21947570966,133030.43462018057,133001.23296833533,132607.15931593307,132607.15931593307,129895.7703547657,130588.20232444545,129895.7703547657,108264.97970086301,107059.63579185141,107071.7110409292
2024-04-16,133359.55206604546,133359.5520660455,133359.5520660455,124924.50494861323,125087.81877521562,132611.25494471999,132650.60212240156,133674.37731350583,133672.4063872893,133359.55206604546,133359.55206604546,130482.9955912327,131068.65183499346,130482.9955912327,108184.03509058164,106864.38840355295,107081.648830066
2024-04-17,131131.4668975031,131131.46689750315,131131.46689750315,123857.81699296128,123982.08683433704,131094.59786285777,131079.96270758804,131754.59152907383,131684.83867073723,131131.4668975031,131131.4668975031,128753.44434877633,129653.5865477703,128753.44434877633,107919.8232641832,106231.91962890093,105775.10623996888
2024-04-18,130366.34652804499,130366.34652804505,130366.34652804505,123496.73047728636,123602.38050934044,130581.1914647996,130540.60800682774,131104.72128720058,131002.31155414307,130366.34652804499,130366.34652804499,127507.65227075436,128634.31803381589,127507.65227075436,107829.10353214404,106013.33221588559,105171.5163102922
2024-04-19,125227.38312728649,125227.38312728654,125227.38312728654,121015.60531121373,121052.06687885112,127053.43432254271,126918.00929180835,126639.28338853094,126418.08923800406,125227.38312728649,125227.38312728649,123589.57458114323,125428.66815475363,123589.57458114323,106239.78043498087,105088.01231320997,102995.6028883718
2024-04-22,127358.246279849,127358.24627984906,127358.24627984906,122039.68483497656,122109.55044487253,128503.31078516411,128420.11419436823,128466.60747956215,128318.92986574108,127351.85634567673,127358.246279849,125386.70300727763,126899.0230017676,125386.70300727763,107085.06357906853,106055.78857888583,104031.39947191
2024-04-23,130658.54910995941,130658.54910995947,130658.54910995947,123629.01240751173,123747.39189965517,130732.74514352641,130746.58976136064,131250.22943481387,131262.97143676606,130660.39681471117,130658.54910995941,128363.64965143264,129334.66859274554,128363.64965143264,108628.34011268633,107314.30745510587,105583.84738588013
2024-04-24,129395.05820610463,129395.05820610469,129395.05820610469,123012.58052652399,123120.35920399042,129868.04334207726,129855.91976280267,130170.58207483163,130135.87191376988,129377.1561160063,129395.05820610463,127467.58328630231,128601.53483109803,127467.58328630231,109022.56327828021,107263.3771133398,105941.53199168379
2024-04-25,127658.88717272422,127658.8871727243,127658.8871727243,122211.38790516459,122258.74951620061,128744.16781849608,128632.04434978659,128767.33619289917,128587.11716010072,127709.29465241193,127658.88717272422,125743.11542961407,127190.62861275092,125743.11542961407,108567.3305875854,106855.88781888832,105429.84576566423
2024-04-26,131047.64224108814,131047.64224108821,131047.64224108821,123871.17276478343,123940.48716779832,131072.43636267117,131020.87236797383,131674.36030553043,131610.06272262995,131164.50770781754,131047.64224108814,128722.96492680837,129628.64922822594,128722.96492680837,110119.02250959381,107868.22896504386,107056.80814738007
2024-04-29,130135.46076642114,130135.4607664212,130135.4607664212,123420.86093722773,123487.79882057646,130438.37779043027,130377.85019009541,130879.71391472819,130796.34946055071,130216.47493819903,130135.46076642114,127828.28649664459,128896.65103200365,127828.28649664459,110955.98447483426,108250.24976287493,107491.4935632917
2024-04-30,128280.44613134438,128280.44613134443,128280.44613134443,122581.1586034316,122567.21061247689,129254.01196097225,129070.1986056573,129392.86047293035,129141.58004039328,128439.63332293389,128280.44613134438,125709.67711262895,127163.27041689797,125709.67711262895,109094.47645028589,106535.41976791674,105464.61665717485
2024-05-01,127086.92558824329,127086.92558824335,127086.92558824335,122107.05061792578,121974.9021113324,128585.30202066788,128228.852667068,128553.36168668033,128076.89771406131,127436.40305326458,127086.92558824329,125172.67096966685,126723.90861409182,125172.67096966685,109022.28539461689,106189.48987179948,104702.05242255783
2024-05-02,127052.41408830322,127052.41408830328,127052.41408830328,122113.70868235786,121957.77508748694,128594.69294848396,128204.52454764264,128565.1510620555,128046.11166328593,127450.49176718602,127052.41408830322,124908.29428339464,126507.60379333173,124908.29428339464,109938.6929071877,107182.72133114633,106038.40079975325
2024-05-03,129670.75681059145,129670.75681059153,129670.75681059153,123319.95223634299,123257.1801645806,130296.05019121713,130050.26740306786,130701.03577703678,130381.80939116665,130002.9483444789,129670.75681059145,127290.80587044284,128456.90102169872,127290.80587044284,110743.06008719433,108511.2935388905,108169.6055410262
2024-05-06,132571.78198470984,132571.7819847099,132571.7819847099,124748.04159371142,124691.51115240199,132309.14606967484,132071.53658631985,133226.81424934138,132919.2146738679,132921.03006880195,132571.78198470984,129892.4127974644,130461.52679869854,129770.20304280607,112978.14454609065,109631.86748133929,109354.43106005585
2024-05-07,133170.71351802934,133170.71351802943,133170.71351802943,125044.14216228176,124987.47754094352,132726.4922213911,132488.13324031478,133750.38484953044,133441.57643261424,133521.53943178762,133170.71351802934,130868.63255918499,131206.13485250977,130692.91186603004,111762.71245644413,109752.8378516801,109371.82029596723
2024-05-08,133420.8230166003,133420.8230166004,133420.8230166004,125167.79162906014,125111.0709751074,132900.77297124203,132662.10100531045,133969.02416470228,133659.71094429807,133772.30782067357,133420.8230166003,131026.24985525361,131326.35686877568,130841.88945845138,110819.5522724891,109763.43365087474,109307.2360370462
2024-05-09,133183.51202089502,133183.5120208951,133183.5120208951,125050.46950316225,124993.80201454557,132735.41044596536,132497.03544895363,133761.57297280355,133452.73872428585,133534.37165112403,133183.51202089502,131113.92432227702,131393.23024792568,130924.75809875772,110957.76362134128,110395.89577405209,109545.68991414463
2024-05-10,133856.3667973044,133856.36679730445,133856.36679730445,125383.11634303702,125326.29811319492,133204.26762909273,132965.05062745506,134349.7653779892,134039.5730865344,134208.99900113855,133856.3667973044,131567.97525176144,131739.55593420222,131353.92048130353,110194.30101431617,110538.10430310506,109804.01936951664
2024-05-13,134580.1090517079,134580.10905170796,134580.10905170796,125755.08060852633,125683.94063050157,133730.50453150907,133468.4614261288,135012.40455949496,134670.789270451,134934.64788749602,134580.1090517079,132400.4475219568,132374.52111444963,132140.76125109574,111718.58692199347,110552.950394632,110057.37614016421
2024-05-14,136204.83517691967,136204.83517691973,136204.83517691973,126548.76516399659,126486.81090347402,134855.12228716788,134598.56633757008,136430.71615623857,136087.8039858776,136563.6542032424,136204.83517691967,133877.95279344148,133501.48285793763,133537.27790012973,113387.79690722437,111060.15194628801,110765.29390499703
2024-05-15,139516.95151733456,139516.95151733462,139516.95151733462,128171.09099008363,128123.5173668472,137153.88999898295,136902.36319630514,139329.806880604,138976.48628176987,139884.4960074691,139516.95151733456,136852.30650172703,135770.16027353244,136348.59407876048,114303.46417320252,112435.43746083944,112496.58412186897
2024-05-16,138370.28241964625,138370.2824196463,138370.2824196463,127626.68540871119,127556.88246316455,136382.49010355666,136104.77869330067,138356.95596134302,137976.4118938865,138734.80611621932,138370.28241964625,135732.65590845776,134916.15087739658,135290.31650454225,114645.45542815613,112204.11247377656,112268.06803390734
