Date,V7.3 alone (no overlay),V7.3 + V2 (original params),V7.3 + V2 (tuned params),"V7.3 + min(V2, SPY-vol 12%)","V7.3 + min(V2, SPY-vol 15%)",CONTROL universe equal weight,CONTROL SPY buy&hold,CONTROL QQQ buy&hold
2020-05-29,109606.5215219437,110002.14017623483,110196.4104929547,96946.06624673364,99492.42582480996,112711.58304972661,94225.21905391628,107957.06729128689
2020-06-01,109801.86173078678,110176.18502668159,110392.80199904901,96984.92875906243,99546.87896380798,114020.17798643927,94606.07395341422,108280.90007088672
2020-06-02,109999.88476798647,110374.88314019401,110591.89077215592,97024.27069196502,99602.01192378084,114285.9954549908,95389.42557752499,109007.21728851268
2020-06-03,110320.90289769814,110696.9956462893,110914.63658240685,97087.95950362708,99691.2773100628,114522.29438423864,96658.86289934706,109497.59364891036
2020-06-04,108971.77918303307,109343.27266137977,109558.25204795881,96820.90200854366,99316.88339913246,114125.42816422347,96404.96306822544,108729.64230084127
2020-06-05,110539.90875018187,110916.748107175,111134.8210977582,97134.2900750436,99755.78648288785,115545.54345467784,98875.81024159181,110885.45446921709
2020-06-08,111015.95693167794,111394.41917485438,111613.43131268109,97228.38144848519,99887.71769525154,117305.88429200504,100070.97488074581,111745.92846016826
2020-06-09,111825.78454192444,112207.00755195308,112427.61731665336,97387.91265791073,100111.48514407293,116918.93608550473,99324.73383389157,112555.51393868052
2020-06-10,114117.71284874566,114506.74922499817,114731.88050293039,97836.87463418543,100741.60131676268,118111.96975379108,98770.5279152234,113906.36429002938
2020-06-11,108779.65813919304,109150.49666159271,109365.0970320222,96807.48933612244,99294.44161976848,111409.20350832788,93076.51219934224,108262.39836592038
2020-06-12,109706.59295591255,110080.59147296262,110297.02049921284,96993.03717108864,99554.2804730506,112291.862583574,94191.17955469986,109122.87235687158
2020-06-15,110641.34103395065,111018.52618168155,111236.79927774442,97178.92366691303,99814.77550107327,114172.39186131173,95070.49721474861,110450.59028274362
2020-06-16,112238.69132818263,112621.32197034695,112842.74631702699,97494.49696481068,100257.31823753295,116603.83337528487,96900.36505636717,112347.33622743953
2020-06-17,113256.53323744521,113642.63378378212,113866.06612767876,97693.36421385343,100536.5285571044,116564.51050780552,96497.87863738535,112703.54875548682
2020-06-18,113189.1618076972,113575.03267946179,113798.332113088,97680.29278707795,100518.16258023132,116828.00316041562,96535.0510484279,113008.87983012034
2020-06-19,113475.58559717488,113862.4329104607,114086.29740057241,97754.73717836825,100616.52873928093,116743.39962894231,95983.34939809446,112990.378125154
2020-06-22,115079.03190916231,115471.34549869182,115698.37326563676,98239.56892470374,101240.31036801508,118063.61995122887,96599.11085076797,114146.92880874294
2020-06-23,116023.58670446875,116419.12035655965,116648.01153999653,98522.58991872244,101604.89275560014,119674.66437295212,97043.82974561684,115118.42714754255
2020-06-24,113588.24222171328,113975.47359040887,114199.56032936538,97796.73273260253,100669.18550292288,118060.39681390012,94568.35534392828,112745.18994495514
2020-06-25,115108.5007490832,115500.91480023615,115728.00070327078,98256.1524829119,101260.32759396362,119578.75697292085,95582.16148861955,113818.4653086326
2020-06-26,112002.26079694545,112384.0854285895,112605.04334541997,97325.49772009005,100061.44075865051,115910.70169069462,93311.97525659218,111130.64264941592
2020-06-29,112499.77415533786,112883.29484966362,113105.2342602111,97477.23973161167,100256.45034827695,117986.82064091571,94683.42801975342,112342.7055069291
2020-06-30,114596.36002275652,114987.0281453649,115213.10369782973,98114.86493132565,101076.20631582315,119824.13525026925,95896.27712171558,114544.78252625851
2020-07-01,116574.41768788108,116971.82916668587,117201.8070287822,98709.29967022555,101841.67656786388,121454.8407514381,96568.00845638858,115881.75483412635
