Date,V2Weight,SPY
2020-08-21,1.0,312.6319274902344
2020-08-24,1.0,315.7999267578125
2020-08-25,1.0,316.9049072265625
2020-08-26,1.0,320.0821228027344
2020-08-27,1.0,320.7819519042969
2020-08-28,1.0,322.8540954589844
2020-08-31,1.0,321.6845703125
2020-09-01,1.0,324.71441650390625
2020-09-02,1.0,329.410888671875
2020-09-03,1.0,318.0746154785156
2020-09-04,1.0,315.4775695800781
2020-09-08,1.0,306.8577575683594
2020-09-09,1.0,312.9174194335937
2020-09-10,1.0,307.4840087890625
2020-09-11,1.0,307.6406555175781
2020-09-14,1.0,311.692626953125
2020-09-15,1.0,313.2673645019531
2020-09-16,1.0,312.0241394042969
2020-09-17,1.0,309.2798156738281
2020-09-18,1.0,305.7191162109375
2020-09-21,1.0,302.3166198730469
2020-09-22,1.0,305.3955078125
2020-09-23,1.0,298.31304931640625
2020-09-24,1.0,299.1082458496094
2020-09-25,1.0,303.9439697265625
2020-09-28,1.0,308.9922180175781
2020-09-29,1.0,307.3094787597656
2020-09-30,1.0,309.6395568847656
2020-10-01,1.0,311.6273498535156
2020-10-02,1.0,308.668701171875
2020-10-05,1.0,314.14227294921875
2020-10-06,1.0,309.6764831542969
2020-10-07,1.0,315.06689453125
2020-10-08,1.0,317.8591613769531
2020-10-09,1.0,320.6976318359375
2020-10-12,1.0,325.85699462890625
2020-10-13,1.0,323.7303771972656
2020-10-14,1.0,321.6962890625
2020-10-15,1.0,321.2987060546875
2020-10-16,1.0,321.1044311523437
2020-10-19,1.0,316.22265625
2020-10-20,1.0,317.48931884765625
2020-10-21,1.0,316.8883056640625
2020-10-22,1.0,318.6265563964844
2020-10-23,1.0,319.7083435058594
2020-10-26,1.0,313.8001403808594
2020-10-27,1.0,312.7184753417969
2020-10-28,1.0,302.030029296875
2020-10-29,1.0,305.0997314453125
2020-10-30,1.0,301.91912841796875
2020-11-02,1.0,305.3031311035156
2020-11-03,1.0,310.693603515625
2020-11-04,1.0,317.6372985839844
2020-11-05,1.0,323.83209228515625
2020-11-06,1.0,323.7581481933594
2020-11-09,1.0,327.826416015625
2020-11-10,1.0,327.3455505371094
2020-11-11,1.0,329.7773132324219
2020-11-12,1.0,326.578125
2020-11-13,1.0,331.09942626953125
2020-11-16,1.0,335.2323608398437
2020-11-17,1.0,333.429443359375
2020-11-18,1.0,329.4166259765625
2020-11-19,1.0,330.8035888671875
2020-11-20,1.0,328.53826904296875
2020-11-23,1.0,330.5077514648437
2020-11-24,1.0,335.8333435058594
2020-11-25,1.0,335.3157043457031
2020-11-27,1.0,336.2493896484375
2020-11-30,1.0,334.7608337402344
2020-12-01,1.0,338.4222717285156
2020-12-02,1.0,339.1342163085937
2020-12-03,1.0,339.041748046875
2020-12-04,1.0,341.9635009765625
2020-12-07,1.0,341.2607421875
2020-12-08,1.0,342.2593994140625
2020-12-09,1.0,339.18975830078125
2020-12-10,1.0,339.0787353515625
2020-12-11,1.0,338.68121337890625
2020-12-14,1.0,337.1648254394531
2020-12-15,1.0,341.7230834960937
2020-12-16,1.0,342.2593994140625
2020-12-17,1.0,344.1733093261719
2020-12-18,1.0,342.799072265625
2020-12-21,1.0,341.5733642578125
2020-12-22,1.0,340.9977111816406
2020-12-23,1.0,341.3041381835937
2020-12-24,1.0,342.6319274902344
2020-12-28,1.0,345.575439453125
2020-12-29,1.0,344.9161071777344
2020-12-30,1.0,345.40826416015625
2020-12-31,1.0,347.1631774902344
2021-01-04,1.0,342.4369812011719
2021-01-05,1.0,344.7953491210937
2021-01-06,1.0,346.8568420410156
2021-01-07,1.0,352.0101928710937
2021-01-08,1.0,354.0158386230469
2021-01-11,1.0,351.62945556640625
2021-01-12,1.0,351.7037658691406
2021-01-13,1.0,352.6509094238281
2021-01-14,1.0,351.4159851074219
2021-01-15,1.0,348.8531188964844
2021-01-19,1.0,351.5923156738281
2021-01-20,1.0,356.4578857421875
2021-01-21,1.0,356.78289794921875
2021-01-22,1.0,355.5201721191406
2021-01-25,1.0,356.9222412109375
2021-01-26,1.0,356.3650817871094
2021-01-27,1.0,347.65533447265625
2021-01-28,1.0,350.645263671875
2021-01-29,1.0,343.6255187988281
2021-02-01,1.0,349.34527587890625
2021-02-02,1.0,354.2850952148437
2021-02-03,1.0,354.5636901855469
2021-02-04,1.0,358.59356689453125
2021-02-05,1.0,360.00494384765625
2021-02-08,1.0,362.6048583984375
2021-02-09,1.0,362.3634643554688
2021-02-10,1.0,362.2055358886719
2021-02-11,1.0,362.7905578613281
2021-02-12,1.0,364.5826721191406
2021-02-16,1.0,364.2669677734375
2021-02-17,1.0,364.3504943847656
2021-02-18,1.0,362.7998352050781
2021-02-19,1.0,362.1590881347656
2021-02-22,1.0,359.3735046386719
2021-02-23,1.0,359.8099670410156
2021-02-24,1.0,363.7748107910156
2021-02-25,1.0,355.0093688964844
2021-02-26,1.0,353.1801147460937
2021-03-01,1.0,361.7413024902344
2021-03-02,1.0,358.9185791015625
2021-03-03,1.0,354.1644592285156
2021-03-04,1.0,349.7817077636719
2021-03-05,1.0,356.2165222167969
2021-03-08,1.0,354.4429626464844
2021-03-09,1.0,359.5035705566406
2021-03-10,1.0,361.7413024902344
2021-03-11,1.0,365.4090576171875
2021-03-12,1.0,365.9011535644531
2021-03-15,1.0,368.0832214355469
2021-03-16,1.0,367.6189575195313
2021-03-17,1.0,368.87249755859375
2021-03-18,1.0,363.5055847167969
2021-03-19,1.0,362.8329772949219
2021-03-22,1.0,365.7301940917969
2021-03-23,1.0,362.8516540527344
2021-03-24,1.0,361.0069580078125
2021-03-25,1.0,363.0379638671875
2021-03-26,1.0,368.88818359375
2021-03-29,1.0,368.701904296875
2021-03-30,1.0,367.7237243652344
2021-03-31,1.0,369.21429443359375
2021-04-01,1.0,373.2013854980469
2021-04-05,1.0,378.5580749511719
2021-04-06,1.0,378.3345031738281
2021-04-07,1.0,378.7722778320313
2021-04-08,1.0,380.57025146484375
2021-04-09,1.0,383.3370666503906
2021-04-12,1.0,383.4767761230469
2021-04-13,1.0,384.6134033203125
2021-04-14,1.0,383.2998352050781
2021-04-15,1.0,387.4173889160156
2021-04-16,1.0,388.7123107910156
2021-04-19,1.0,386.8025207519531
2021-04-20,1.0,383.9705810546875
2021-04-21,1.0,387.6037902832031
2021-04-22,1.0,384.0636901855469
2021-04-23,1.0,388.2279052734375
2021-04-26,1.0,389.0384826660156
2021-04-27,1.0,388.95452880859375
2021-04-28,1.0,388.8427734375
2021-04-29,1.0,391.32073974609375
2021-04-30,1.0,388.7495422363281
2021-05-03,1.0,389.5880432128906
2021-05-04,1.0,387.18450927734375
2021-05-05,1.0,387.30560302734375
2021-05-06,1.0,390.3984680175781
2021-05-07,1.0,393.23974609375
2021-05-10,1.0,389.34576416015625
2021-05-11,1.0,385.8710632324219
2021-05-12,1.0,377.6731262207031
2021-05-13,1.0,382.20989990234375
2021-05-14,1.0,388.0788879394531
2021-05-17,1.0,387.0912780761719
2021-05-18,1.0,383.7563171386719
2021-05-19,1.0,382.7501525878906
2021-05-20,1.0,386.8677673339844
2021-05-21,1.0,386.551025390625
2021-05-24,1.0,390.49163818359375
2021-05-25,1.0,389.6253051757813
2021-05-26,1.0,390.3984680175781
2021-05-27,1.0,390.60345458984375
2021-05-28,1.0,391.3021240234375
2021-06-01,1.0,390.95751953125
2021-06-02,1.0,391.57220458984375
2021-06-03,1.0,390.1189270019531
2021-06-04,1.0,393.68701171875
2021-06-07,1.0,393.3049621582031
2021-06-08,1.0,393.388916015625
2021-06-09,1.0,392.8019104003906
2021-06-10,1.0,394.6278991699219
2021-06-11,1.0,395.2799682617188
2021-06-14,1.0,396.1650390625
2021-06-15,1.0,395.4382934570313
2021-06-16,1.0,393.23052978515625
2021-06-17,1.0,393.10003662109375
2021-06-18,1.0,387.7969970703125
2021-06-21,1.0,393.3486328125
2021-06-22,1.0,395.4516906738281
2021-06-23,1.0,394.9749450683594
2021-06-24,1.0,397.3115539550781
2021-06-25,1.0,398.7228393554688
2021-06-28,1.0,399.5265502929688
2021-06-29,1.0,399.7416687011719
2021-06-30,1.0,400.078125
2021-07-01,1.0,402.2930603027344
2021-07-02,1.0,405.3680419921875
2021-07-06,1.0,404.629638671875
2021-07-07,1.0,406.0596923828125
2021-07-08,1.0,402.7510681152344
2021-07-09,1.0,407.0503540039063
2021-07-12,1.0,408.5084228515625
2021-07-13,1.0,407.1158142089844
2021-07-14,1.0,407.7232666015625
2021-07-15,1.0,406.3307189941406
2021-07-16,1.0,403.1435546875
2021-07-19,1.0,397.1900024414063
2021-07-20,1.0,402.8818664550781
2021-07-21,1.0,406.1438293457031
2021-07-22,1.0,406.9942932128906
2021-07-23,1.0,411.1814575195313
2021-07-26,1.0,412.19085693359375
2021-07-27,1.0,410.3122253417969
2021-07-28,1.0,410.1440124511719
2021-07-29,1.0,411.8450317382813
2021-07-30,1.0,409.8449401855469
2021-08-02,1.0,408.9850463867188
2021-08-03,1.0,412.3123168945313
2021-08-04,1.0,410.28424072265625
2021-08-05,1.0,412.8824462890625
2021-08-06,1.0,413.5647888183594
2021-08-09,1.0,413.2283325195313
2021-08-10,1.0,413.7423400878906
2021-08-11,1.0,414.7704162597656
2021-08-12,1.0,416.0134582519531
2021-08-13,1.0,416.7705383300781
2021-08-16,1.0,417.7518615722656
2021-08-17,1.0,415.013427734375
2021-08-18,1.0,410.4710998535156
2021-08-19,1.0,411.106689453125
2021-08-20,1.0,414.37786865234375
2021-08-23,1.0,418.0229797363281
2021-08-24,1.0,418.6865234375
2021-08-25,1.0,419.5650634765625
2021-08-26,1.0,417.0882873535156
2021-08-27,1.0,420.8175048828125
2021-08-30,1.0,422.6680603027344
2021-08-31,1.0,422.0418090820313
2021-09-01,1.0,422.2661743164063
2021-09-02,1.0,423.5652770996094
2021-09-03,1.0,423.4624938964844
2021-09-07,1.0,421.9484252929688
2021-09-08,1.0,421.4343566894531
2021-09-09,1.0,419.6305236816406
2021-09-10,1.0,416.3219299316406
2021-09-13,1.0,417.3873901367188
2021-09-14,1.0,415.1349182128906
2021-09-15,1.0,418.6023864746094
2021-09-16,1.0,417.9388122558594
2021-09-17,1.0,413.8676452636719
2021-09-20,1.0,406.96673583984375
2021-09-21,1.0,406.5823059082031
2021-09-22,1.0,410.5484619140625
2021-09-23,1.0,415.5366516113281
2021-09-24,1.0,416.2210693359375
2021-09-27,1.0,415.03033447265625
2021-09-28,1.0,406.6667175292969
2021-09-29,1.0,407.3511962890625
2021-09-30,1.0,402.3723449707031
2021-10-01,1.0,407.15423583984375
2021-10-04,1.0,401.9036254882813
2021-10-05,1.0,406.08538818359375
2021-10-06,1.0,407.7731628417969
2021-10-07,1.0,411.2985534667969
2021-10-08,1.0,410.5484619140625
2021-10-11,1.0,407.5762023925781
2021-10-12,1.0,406.5729370117188
2021-10-13,1.0,408.03564453125
2021-10-14,1.0,414.8990478515625
2021-10-15,1.0,418.0588684082031
2021-10-18,1.0,419.2965393066406
2021-10-19,1.0,422.5313415527344
2021-10-20,1.0,424.1909484863281
2021-10-21,1.0,425.29736328125
2021-10-22,1.0,424.8566589355469
2021-10-25,1.0,427.135009765625
2021-10-26,1.0,427.51947021484375
2021-10-27,1.0,425.6255187988281
2021-10-28,1.0,429.7322692871094
2021-10-29,1.0,430.6042785644531
2021-11-01,1.0,431.3450012207031
2021-11-02,1.0,433.0889587402344
2021-11-03,1.0,435.7331237792969
2021-11-04,1.0,437.7864685058594
2021-11-05,1.0,439.305419921875
2021-11-08,1.0,439.6805419921875
2021-11-09,1.0,438.2271728515625
2021-11-10,1.0,434.70166015625
2021-11-11,1.0,434.84228515625
2021-11-12,1.0,438.1239929199219
2021-11-15,1.0,438.2739868164063
2021-11-16,1.0,440.0086669921875
2021-11-17,1.0,438.9397888183594
2021-11-18,1.0,440.4305419921875
