Date,V7-price top5,V7-price + V2,V7-price + voltgt20,"V7-price + min(V2, voltgt20)",B dip sleeve (price-only gates),"B + min(V2, voltgt20)",CONTROL universe equal weight,CONTROL SPY buy&hold,CONTROL QQQ buy&hold
2019-09-16,869864.8665894818,734606.9754458505,504172.6250970103,434128.07174865226,1056679.8360544038,580968.303157352,767485.7231693501,262532.674280072,380242.00209479174
2019-09-17,877181.7891834447,740786.1678500646,507894.05770528305,437332.486827835,1072463.785439058,588814.2776485409,770365.8055969153,263197.39374392113,382067.0634526952
2019-09-18,878350.0280095023,741772.753725148,508486.41529169446,437842.5483503641,1073525.8491065812,589337.0193692506,771789.2734189171,263354.786068828,381908.3611489919
2019-09-19,878958.697392943,742286.7792847374,508791.3338599235,438105.10467229877,1075599.5630199467,590350.949366874,770916.4380596766,263337.31445650273,382543.14009443595
2019-09-20,878026.553795674,741499.5774848122,508314.753260305,437694.7352741082,1065914.5351034359,585521.1136353189,767951.2483102819,262093.07550633675,378496.33729279385
2019-09-23,877984.4127546053,741463.9890803248,508292.186386127,437675.3036090701,1069014.6996833761,587074.7084105123,765791.5237384863,262031.49620265883,377901.2112212487
2019-09-24,876663.730834463,740348.6639440359,507611.1106592322,437088.8495310154,1064580.166002292,584857.5696570459,755094.7640225143,259975.4037538838,372882.3681604373
2019-09-25,879213.6321029357,742502.0734337908,508926.33160281926,438221.34721879254,1072441.283828431,588805.8221113716,757446.8539546395,261513.1421408785,377068.0468288333
2019-09-26,873484.6785133724,737663.9319815452,505935.47717122425,435646.0113067734,1069658.2680677525,587405.9312297803,751181.7917850225,260968.3589396416,375679.4395081409
2019-09-27,862899.879829133,728724.9953193269,500392.9621342666,430873.5162408833,1050737.2686077917,577904.5887270197,745221.1866755576,259562.44105917582,371017.65392863494
2019-09-30,870846.2849712317,735435.7901465646,504557.66135498544,434459.6150334464,1043113.769615202,574065.6048432896,747041.304927456,260766.23810467,374548.69694526814
2019-10-01,854131.9252830027,721320.396263346,495781.7527408269,426902.9408015324,1023365.4886017374,564277.0354695036,737293.5706597138,257664.50956799882,371493.7608397449
2019-10-02,844330.0180176952,713042.616890557,490644.0465969112,422479.01464917505,1017795.8369670734,561519.8283061476,728858.2136900042,253112.81458510083,365106.1368951906
2019-10-03,857862.8064551918,724471.1515575509,497709.96076866076,428563.2634596551,1020611.1054759867,562914.1457159875,734608.9749288022,255186.67427415942,369113.2868229338
2019-10-04,877498.2650496353,741053.433936779,507909.13933361025,437345.4731700092,1037580.4994011576,571310.7556901944,746022.1494378622,258639.874890248,374548.69694526814
2019-10-07,886755.0437408624,748870.8484087478,512637.4192218094,441416.85453498684,1048136.8357608778,576522.0654611099,750225.7532066063,257523.82022272606,373417.984651765
2019-10-08,864962.2450671865,730466.6772149657,501727.58427268517,432022.7197212452,1021264.9500224226,563382.8605163031,736633.348842058,253525.89553099213,367823.84195635776
2019-10-09,876592.9148138402,740288.859318374,507799.93394702807,437251.43965541216,1031314.1506526715,568280.8811885092,743050.5599310809,255933.4896219805,371414.39455320855
2019-10-10,887791.3708007898,749746.0338729578,513511.0294520845,442169.0943549419,1035176.1051140835,570110.7231079272,747509.6717388686,257664.50956799882,374290.80191807915
2019-10-11,897647.7162643872,758069.7866856804,518496.11763374053,446461.6057132944,1037154.974156124,571051.9328139772,756419.6689781876,260335.68554645346,379111.28980128845
2019-10-14,906665.2514468287,765685.1583379719,523021.1565701548,450357.98233167024,1032582.8416719515,568877.006144782,758172.7244940866,260045.6745195306,379071.6066580203
2019-10-15,914887.4318498626,772628.8473055748,527122.687862081,453889.68909706245,1042323.1279813757,573519.3946885965,770927.8099533097,262620.23928126926,383892.0945412294
2019-10-16,899098.5536906479,759295.0290589557,519273.9290077478,447131.35598368436,1043730.5251533019,574187.4167486454,767417.8228992958,262198.4373106133,382939.8807190095
2019-10-17,910815.3759227472,769189.9675400397,525089.7288552998,452139.1684824452,1047149.1407158033,575808.7442761648,776984.2459898712,262971.71136068675,383951.6041214471
2019-10-18,910341.0276011132,768789.377058406,524856.1865273883,451938.0721209195,1042994.2070119994,573834.4890982206,772972.3725430996,261820.62478012667,380261.8588011105
2019-10-21,921010.0368806693,777799.4301584781,530073.9973569296,456430.97403867455,1059158.8558813438,581568.0519337581,781839.0498269518,263595.54547792685,383634.19951404043
2019-10-22,901918.2767132013,761676.3049108181,520721.97636258206,448378.2265487691,1044488.9777995158,574522.4935874038,776516.6536700708,262734.52904988127,380579.26340851706
2019-10-23,897079.0622069866,757589.5543493407,518300.027657512,446292.75845933467,1042963.0026321289,573783.2513356272,776039.1894217064,263498.9046984151,381313.23507744685
2019-10-24,901631.2823635741,761433.9361714341,520535.2602875043,448217.450882652,1057251.0514797366,580589.3019316803,786990.9504890835,263929.39813104004,385022.8068347329
2019-10-25,896913.4604968807,757449.7025446959,518174.24691666965,446184.4523995313,1059246.4494000666,581563.7160644571,794495.755394387,265010.30263434065,388097.5996465748
2019-10-28,907920.0296704691,766744.8273407421,523707.9567609007,450949.3655755101,1069514.1140315905,586560.3833770244,802791.9057945098,266504.0220183703,391926.22083366534
2019-10-29,907733.6368502715,766587.4172979303,523598.0845273248,450854.75785877457,1070645.9063434252,587111.0408591982,798185.9329955773,266424.9415395713,388891.0808957221
2019-10-30,901519.1222654948,761339.2161826398,520303.65356327366,448018.0212119616,1075900.8685081578,589639.3129673057,801908.0552948344,267242.1163414266,390775.6518338433
2019-10-31,901619.2489636517,761423.773880875,520358.30831809645,448065.0827978987,1071693.2014124403,587478.7465282811,802288.2244370395,266530.3624694394,390954.180574496
2019-11-01,907485.5049965472,766377.8682086668,523743.9448480918,450980.3538484161,1071415.4348463826,587334.6251474534,811287.1137901904,268999.44717571826,394505.0500280786
2019-11-04,910196.9532444712,768667.705254615,525308.8233985483,452327.8242857485,1071799.0421348386,587498.4180375414,815322.7524389821,270080.2334278357,396945.0638944767
2019-11-05,904191.9888815816,763596.4707701392,521843.1330852864,449343.6213003427,1065727.149668442,584170.156788682,806958.4560606816,269781.59006453556,397163.2757783976
2019-11-06,906222.339720691,765311.1162815277,523014.9247580414,450352.6163033665,1076411.7516684015,590026.8393621558,807367.1109485399,269842.9919914385,396270.5715363953
2019-11-07,910505.9794735761,768928.6800706072,525487.1740337946,452481.39672011003,1081216.7825546484,592660.6801600247,810192.9935150609,270791.98729982285,397599.6692768701
2019-11-08,913931.1941293379,771821.2978497195,527463.9939674275,454183.5776463697,1082099.9126262749,593144.7611300623,818001.9962677293,271459.78129443654,399186.6620445339
2019-11-11,922961.9154308672,779447.8052719829,532675.9621732498,458671.44865438715,1087086.7519279113,595878.2588153031,819545.2689524895,270941.36810706457,398651.0758225758
2019-11-12,936818.9076515884,791150.1323057803,540673.3524670346,465557.76388539386,1099062.1394228213,602442.4755500305,828043.8794657646,271512.4917593706,399801.6145530285
2019-11-13,942380.9382148249,795847.3060925736,543883.4090602428,468321.8482676933,1106170.6726201163,606338.9634584911,837167.7105909567,271600.32282573025,399900.8072765143
2019-11-14,944239.9136357637,797417.2238623971,544956.2935470776,469245.67723081674,1106950.772435506,606766.5691844117,836137.271861066,271995.7547825213,399583.4026691076
2019-11-15,954333.7445225271,805941.5347791715,550781.8221953651,474261.8669109109,1118573.4557486803,613137.4538292051,846850.0469998372,273964.04572773253,402519.34988356504
2019-11-18,967729.8003298705,817254.5977818421,558513.1887850385,480919.1170321587,1125160.85554543,616748.2864642695,855027.90649213,274166.1074371125,402836.75449097174
