Date,buy&hold,V2 (original params),V2 (tuned on 2024-26),A voltgt10,A voltgt12,A voltgt15,A voltgt20,V2 + voltgt15 (min of both)
2007-05-03,437795.9796388256,339869.71760110726,289734.49845122657,307568.54603153106,337482.77912263625,363815.2756939626,376378.82957322925,289752.6661430519
2007-05-04,439455.55147138087,341158.0761889012,290832.8073323312,308564.2490360736,338707.0974900429,365194.40572684497,377691.631870459,290851.0438931983
2007-05-07,439542.97229372046,341225.9427102555,290890.662656027,308616.6705006848,338771.58011250873,365267.05379137746,377760.76514844265,290908.90284469025
2007-05-08,438960.48320965597,340773.74486076855,290505.1698911918,308267.39393835823,338341.9330150201,364782.9962929909,377300.1341567541,290523.38590767735
2007-05-09,440154.3168935191,341700.5416699397,291295.25207493774,308983.38830604067,339222.5614232851,365775.09067262796,378244.31507083634,291313.517633227
2007-05-10,435553.6972434666,338128.9892254806,288250.55023009103,306225.28767439944,335829.3215973416,361951.904110413,374606.55854568724,288268.62487150595
2007-05-11,439280.6149072424,341022.2694583302,290717.0338669986,308463.0438118633,338579.4005854202,365049.0307182313,377555.95616182196,290735.26316833444
2007-05-14,438319.9034162847,340276.4500394372,290081.2325464415,307886.9175154604,337870.7536056627,364250.66451068077,376796.18618635426,290099.42198009667
2007-05-15,438436.52779237716,340366.9878598179,290158.41485666326,307956.8780290881,337956.787029014,364347.58118308993,376888.4336628713,290176.60913000593
2007-05-16,441435.57139972167,342695.20500046515,292143.1895823795,309755.8714337454,340169.14645793336,366839.83311679744,379260.56491421687,292161.50831026846
2007-05-17,440562.0276125443,342017.05560195976,291565.07607100875,309232.3909292841,339524.93160232157,366113.90462831553,378569.9993861533,291583.35854850925
2007-05-18,444405.7594913319,345001.0210309151,294108.86765402014,311536.4553293958,342359.82123615383,369308.1056676408,381609.078965383,294127.30963900697
2007-05-21,444172.70057806635,344820.0927658786,293954.6286694587,311364.97745187377,342187.9958647582,369114.43008192023,381424.9362294577,293973.0609829485
2007-05-22,443823.46024618694,344548.9705571532,293723.5005250671,311181.00879243185,341930.5085952902,368824.2059283522,381148.98555085325,293741.91834575427
2007-05-23,443881.4876758541,344594.018403756,293761.90322635486,311211.58176848484,341973.2923990067,368872.4276259101,381194.838545185,293780.32345506886
2007-05-24,439863.2305505864,341474.56555830047,291102.6103890886,309027.3688494395,339010.63561668,365533.1933893496,378019.66434741876,291120.86386785394
2007-05-25,441697.61238800094,342898.63262618217,292316.60897827114,310273.9938744023,340363.654530249,367057.5932581139,379470.22645671264,292334.9385803575
2007-05-29,443299.2200705289,344141.992492615,293376.5570367154,311362.2804751777,341544.77101736335,368388.5541798044,380736.2991812775,293394.9531024428
2007-05-30,446910.0195953304,346945.1279070172,295766.1933924201,313815.51587728225,344207.1661598789,371389.184806141,383589.8167329133,295784.7392993887
2007-05-31,446443.9334086193,346583.2959395652,295457.7363626109,313498.933039743,343863.62046515313,371001.85992788296,383221.7190663264,295476.26292789844
2007-06-01,448657.1388095049,348301.45126664883,296922.4413544752,315002.27464565873,345495.0168254154,372841.06807628775,384969.7727455401,296941.05976353376
2007-06-04,448715.22951881186,348346.54823849327,296960.88593439024,315041.72697058,345537.82752716774,372889.3423602115,385015.6363921298,296979.5067541016
2007-06-05,446938.8118314248,346967.4798919728,295785.2481678681,313835.27740128274,344228.6807548345,371413.11160263914,383613.1375834874,295803.79526965925
2007-06-06,442134.4001014996,343237.7196067453,292605.6762036133,310571.9494350194,340687.4219851629,367420.57064894633,379818.80430259166,292624.02393155044
2007-06-07,434155.9449204514,337043.8863250579,287325.5141696822,305150.77294960653,334803.8771761006,360790.3501665664,373512.26915861707,287343.5308070619
2007-06-08,439804.8550829005,341429.24752286857,291063.9773553503,308991.38291555987,338972.8384076434,365484.6824667792,377983.97927821206,291082.228411646
2007-06-11,440562.0276125444,342017.0556019599,291565.07607100875,309505.9571214174,339531.3319964577,366113.90462831565,378582.7465821331,291583.3585485093
2007-06-12,435757.4260436998,338287.14794100734,288385.3784708718,306240.9348856,335987.6998253118,362121.205915525,374783.819227642,288403.4615666404
2007-06-13,442280.0065526057,343350.7567878067,292702.0389251653,310675.0269666075,340800.7068113775,367541.5718769515,379945.6687339357,292720.3926954903
2007-06-14,445104.46163383033,345543.43738671206,294571.27051799936,312594.1840534597,342883.54875051614,369888.738027058,382178.2574098904,294589.74149778247
2007-06-15,447637.0393766249,347509.52780845726,296247.33694214217,314314.6597658832,344750.64174251806,371993.34956431185,384179.1172557843,296265.9130190346
2007-06-18,447110.61605339503,347100.8549230818,295898.94864114665,313957.1066563305,344362.6409138528,371555.8835861395,383763.4051068454,295917.5028724828
2007-06-19,448221.8698073608,347963.5432918857,296634.3792161897,314711.91273991216,345181.73304009985,372479.35275823774,384641.03553643014,296652.97956242115
2007-06-20,441992.90682697843,343127.87556639203,292512.03559283976,310481.30554423924,340590.9266892508,367302.9875347268,379722.5864896459,292530.37744907796
2007-06-21,444449.35916313215,345034.86832241947,294137.72202827025,312150.4553345629,342402.45271666435,369344.3376737668,381664.4080863006,294156.16582255973
2007-06-22,440267.55580888415,341788.45128989173,291370.1938785959,309309.4496057817,339319.2885394609,365869.19397446,378360.15854170034,291388.4641360825
2007-06-25,438162.11563452345,340153.9562493563,289976.8081891231,307878.62557509524,337766.3537019657,364119.5404072342,376695.2841383202,289994.99107488856
2007-06-26,433658.5669518751,336657.7619256047,286996.34815864434,304817.60400186543,334443.93100882985,360377.02133035596,373132.74146843114,287014.3441557941
2007-06-27,439828.8380663726,341447.865989458,291079.8493551193,309012.9054882564,338997.9841912737,365504.6126994667,378017.79728224763,291098.1014066626
2007-06-28,439770.4625986866,341402.5479540259,291041.216321381,308973.23293938924,338954.9253588222,365456.1017768962,377971.6327144891,291059.46595045464
2007-06-29,439916.60692673083,341516.0026996414,291137.93501126557,309072.5545102949,339062.7247528284,365577.54998901184,378087.20799857914,291156.1907050479
2007-07-02,443893.6373666896,344603.450450155,293769.94392280775,311775.3663589238,341996.23134096013,368882.5242081688,381232.27858221956,293788.3646557105
2007-07-03,445502.2374494119,345852.23865579127,294834.5195695751,312868.25969862065,343182.29759375367,370219.2959232945,382503.46336721827,294853.00705629
2007-07-05,445034.41107260715,345489.0557441936,294524.9108775135,312550.45293499884,342837.4095376972,369830.5249199734,382133.8735125247,294543.3789503329
2007-07-06,447373.95427428954,347305.2896162528,296073.22654889914,314139.82078323414,344562.2309831629,371774.7217479575,383982.3029123282,296091.7917082654
2007-07-09,447724.87151662295,347577.7136438823,296305.46447691583,314378.17553680885,344820.8855462005,372066.33944022283,384259.44027202344,296324.0441986732
2007-07-10,441349.54272945714,342628.41923442745,292086.2555884856,310047.94946864684,340121.9077655238,366768.3419523156,379224.83105064416,292104.57074635004
2007-07-11,444478.81583544414,345057.7361224125,294157.2165293057,312174.40578052966,342429.79112179356,369368.8166271072,381698.8749861654,294175.6615459904
2007-07-12,451497.2872413919,350506.31492548605,298802.05884689424,316942.61799568526,347604.4469636937,375201.27564514487,387244.64943341503,298820.7951166546
2007-07-13,452842.48582358,351550.6193127096,299692.31470728177,317822.8398119351,348595.5870503567,376319.15661208663,388306.26318631705,299711.10680019815
2007-07-16,452783.9521567946,351505.17846417346,299653.5769769752,317787.4066956463,348552.46504866873,376270.5142236014,388260.0801145885,299672.36664085684
2007-07-17,452550.102248032,351323.63613361627,299498.81450957176,317645.84409177717,348380.18586728297,376076.1813083067,388075.5705970331,299517.5944691316
2007-07-18,451731.16878997453,350687.8818186641,298956.8422536114,317150.0620340701,347776.8573462745,375395.6348536225,387429.39863926533,298975.58822900656
2007-07-19,453485.881560921,352050.1002072949,300118.11565094953,318212.62936897826,349069.6983580091,376853.82848768076,388814.1391786,300136.93444355257
